TimeSeries ID,value_with_defaults_aggregate remote_type=VMs Different Region (outside europe-west4),value_with_defaults_aggregate remote_type=External (or VMs Different Project),value_with_defaults_aggregate remote_type=Google Services
Wed May 22 2024 13:57:00 GMT+0200 (Central European Summer Time),0.11666666666666667,0.03333333333333333,0.05
Wed May 22 2024 13:58:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.03333333333333333
Wed May 22 2024 13:59:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 14:00:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.31666666666666665
Wed May 22 2024 14:01:00 GMT+0200 (Central European Summer Time),0.05,0.016666666666666666,0.2
Wed May 22 2024 14:02:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.3333333333333333
Wed May 22 2024 14:03:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.3
Wed May 22 2024 14:04:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 14:05:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.26666666666666666,0.1
Wed May 22 2024 14:06:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.03333333333333333,0.18333333333333332
Wed May 22 2024 14:07:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.2
Wed May 22 2024 14:08:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.05
Wed May 22 2024 14:09:00 GMT+0200 (Central European Summer Time),0.13333333333333333,0.016666666666666666,0.21666666666666667
Wed May 22 2024 14:10:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.1
Wed May 22 2024 14:11:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.15
Wed May 22 2024 14:12:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.16666666666666666
Wed May 22 2024 14:13:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 14:14:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.1
Wed May 22 2024 14:15:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0,0.06666666666666667
Wed May 22 2024 14:16:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 14:17:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 14:18:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.2
Wed May 22 2024 14:19:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.05
Wed May 22 2024 14:20:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.06666666666666667
Wed May 22 2024 14:21:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:22:00 GMT+0200 (Central European Summer Time),0.05,0.016666666666666666,0.2
Wed May 22 2024 14:23:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:24:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.05
Wed May 22 2024 14:25:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.18333333333333332
Wed May 22 2024 14:26:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0,0.03333333333333333
Wed May 22 2024 14:27:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.21666666666666667
Wed May 22 2024 14:28:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:29:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.21666666666666667
Wed May 22 2024 14:30:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:31:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:32:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:33:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.21666666666666667
Wed May 22 2024 14:34:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.03333333333333333,0.08333333333333333
Wed May 22 2024 14:35:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0,0.18333333333333332
Wed May 22 2024 14:36:00 GMT+0200 (Central European Summer Time),0.13333333333333333,0.06666666666666667,0.06666666666666667
Wed May 22 2024 14:37:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:38:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:39:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.1
Wed May 22 2024 14:40:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 14:41:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:42:00 GMT+0200 (Central European Summer Time),0.05,0.016666666666666666,0.016666666666666666
Wed May 22 2024 14:43:00 GMT+0200 (Central European Summer Time),0.03333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:44:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:45:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.16666666666666666,0.03333333333333333
Wed May 22 2024 14:46:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 14:47:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.05
Wed May 22 2024 14:48:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.2
Wed May 22 2024 14:49:00 GMT+0200 (Central European Summer Time),0.13333333333333333,0.016666666666666666,0.03333333333333333
Wed May 22 2024 14:50:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:51:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.05
Wed May 22 2024 14:52:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.16666666666666666
Wed May 22 2024 14:53:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.1
Wed May 22 2024 14:54:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 14:55:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0,0.3333333333333333
Wed May 22 2024 14:56:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:57:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.21666666666666667
Wed May 22 2024 14:58:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 14:59:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 15:00:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.15,0.18333333333333332
Wed May 22 2024 15:01:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.15,0.1
Wed May 22 2024 15:02:00 GMT+0200 (Central European Summer Time),0.13333333333333333,0.016666666666666666,0.16666666666666666
Wed May 22 2024 15:03:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 15:04:00 GMT+0200 (Central European Summer Time),0,0,0.18333333333333332
Wed May 22 2024 15:05:00 GMT+0200 (Central European Summer Time),0.05,0.016666666666666666,0.1
Wed May 22 2024 15:06:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 15:07:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.03333333333333333,0.08333333333333333
Wed May 22 2024 15:08:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.03333333333333333
Wed May 22 2024 15:09:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 15:10:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.15
Wed May 22 2024 15:11:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.15
Wed May 22 2024 15:12:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.05
Wed May 22 2024 15:13:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.13333333333333333,0.05
Wed May 22 2024 15:14:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.06666666666666667
Wed May 22 2024 15:15:00 GMT+0200 (Central European Summer Time),1.8499999999999999,0.11666666666666667,0.2
Wed May 22 2024 15:16:00 GMT+0200 (Central European Summer Time),0.03333333333333333,0.15,0.18333333333333332
Wed May 22 2024 15:17:00 GMT+0200 (Central European Summer Time),0,0,0.43333333333333335
Wed May 22 2024 15:18:00 GMT+0200 (Central European Summer Time),0,0.06666666666666667,0.2
Wed May 22 2024 15:19:00 GMT+0200 (Central European Summer Time),0,0.03333333333333333,0.06666666666666667
Wed May 22 2024 15:20:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.2
Wed May 22 2024 15:21:00 GMT+0200 (Central European Summer Time),0,0,0.08333333333333333
Wed May 22 2024 15:22:00 GMT+0200 (Central European Summer Time),0,0.06666666666666667,0.05
Wed May 22 2024 15:23:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.3
Wed May 22 2024 15:24:00 GMT+0200 (Central European Summer Time),0,0,0.1
Wed May 22 2024 15:25:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.05
Wed May 22 2024 15:26:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.21666666666666667
Wed May 22 2024 15:27:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 15:28:00 GMT+0200 (Central European Summer Time),0,0,0.11666666666666667
Wed May 22 2024 15:29:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.03333333333333333
Wed May 22 2024 15:30:00 GMT+0200 (Central European Summer Time),0,0.13333333333333333,0.18333333333333332
Wed May 22 2024 15:31:00 GMT+0200 (Central European Summer Time),0,0,0.15
Wed May 22 2024 15:32:00 GMT+0200 (Central European Summer Time),0,0,0.08333333333333333
Wed May 22 2024 15:33:00 GMT+0200 (Central European Summer Time),0,0.13333333333333333,0.08333333333333333
Wed May 22 2024 15:34:00 GMT+0200 (Central European Summer Time),0,0.03333333333333333,0.05
Wed May 22 2024 15:35:00 GMT+0200 (Central European Summer Time),0.03333333333333333,0.016666666666666666,0.18333333333333332
Wed May 22 2024 15:36:00 GMT+0200 (Central European Summer Time),0.08333333333333333,0.016666666666666666,0.08333333333333333
Wed May 22 2024 15:37:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.05
Wed May 22 2024 15:38:00 GMT+0200 (Central European Summer Time),0,0,0.016666666666666666
Wed May 22 2024 15:39:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.2
Wed May 22 2024 15:40:00 GMT+0200 (Central European Summer Time),0,0.13333333333333333,0.05
Wed May 22 2024 15:41:00 GMT+0200 (Central European Summer Time),0,0.03333333333333333,0.05
Wed May 22 2024 15:42:00 GMT+0200 (Central European Summer Time),0,0.13333333333333333,0.2833333333333333
Wed May 22 2024 15:43:00 GMT+0200 (Central European Summer Time),0.03333333333333333,0.016666666666666666,0.25
Wed May 22 2024 15:44:00 GMT+0200 (Central European Summer Time),4.666666666666667,0.016666666666666666,0.016666666666666666
Wed May 22 2024 15:45:00 GMT+0200 (Central European Summer Time),0.25,0.13333333333333333,0.3
Wed May 22 2024 15:46:00 GMT+0200 (Central European Summer Time),0.16666666666666666,0,0.03333333333333333
